n,Min_AIC_PSSRR,AIC_Rule_Of_2_PSSRR,Stand_AIC_Method_PSSRR,Min_AIC_Spec,AIC_Rule_Of_2_Spec,Stand_AIC_Method_Spec,Min_BIC_PSSRR,BIC_Rule_Of_2_PSSRR,Stand_BIC_Method_PSSRR,Min_BIC_Spec,BIC_Rule_Of_2_Spec,Stand_BIC_Method_Spec,Min_AICc_PSSRR,AICc_Rule_Of_2_PSSRR,Stand_AICc_Method_PSSRR,Min_AICc_Spec,AICc_Rule_Of_2_Spec,Stand_AICc_Method_Spec
100,1.0579307958046489,1.045174434136794,1.0349137882409722,0.487,0.798,0.974,1.041740259915816,1.036791105197722,1.0379503207896346,0.87,0.95,0.986,1.0555348854149351,1.043756905413888,1.0339732972963853,0.545,0.83,0.992
200,1.0274605343505165,1.021288919193107,1.0159998102511727,0.484,0.797,0.975,1.0185621036916772,1.0161862236847046,1.0150759781606726,0.905,0.971,0.998,1.0270601013067715,1.0210153083404534,1.0152138912971873,0.504,0.807,0.993
300,1.0181018319494812,1.0144286462261862,1.011465192574791,0.532,0.828,0.977,1.0126403879642385,1.0114375444670425,1.0107827821644442,0.927,0.976,0.999,1.0179075504576753,1.0143806173360215,1.0110693154289765,0.546,0.83,0.991
400,1.013948980142631,1.0106661497521126,1.0082327931498667,0.496,0.799,0.972,1.0090035792528809,1.0081899722715666,1.0077389602998632,0.936,0.98,0.999,1.013779328354779,1.0105844145588205,1.0079191702895762,0.509,0.804,0.99
500,1.0109261589785072,1.0085963509137685,1.0063992158036676,0.496,0.784,0.975,1.0068768883699817,1.0062582753175593,1.0058830332698883,0.946,0.983,1.0,1.0108991507320668,1.0084875704443883,1.0061005776170062,0.502,0.791,0.991
600,1.0091015063784206,1.0069990105882745,1.0052661509141176,0.49,0.796,0.977,1.0056256850937155,1.0052958079505205,1.00492314031182,0.947,0.975,1.0,1.009018915471986,1.0069554424182143,1.0050848895206603,0.502,0.799,0.989
700,1.0076135885278006,1.0060550727916189,1.0044976278367772,0.493,0.774,0.972,1.0048138699440543,1.0044852537690934,1.0041934660122482,0.94,0.98,1.0,1.0075934200337118,1.0060205935007625,1.00437635793948,0.5,0.777,0.985
800,1.006629306980378,1.0050110652804498,1.003884203775305,0.488,0.797,0.979,1.0040662783984928,1.0038182101145898,1.0036331182576481,0.962,0.986,1.0,1.006617892860545,1.0050075843699202,1.0037016353976458,0.492,0.801,0.995
900,1.005691370177993,1.0044669559268489,1.003446250207118,0.507,0.815,0.981,1.0035769123096319,1.0033445929079394,1.0032669393104294,0.966,0.991,1.0,1.0056564606075082,1.0044560557989806,1.0033133040516982,0.514,0.817,0.996
1000,1.0053242451688824,1.0040288230094674,1.0031072882288914,0.5,0.814,0.982,1.0032443487683829,1.0031191733833942,1.0029910047327624,0.959,0.981,0.999,1.0053008690718899,1.0040122564230014,1.0030813483589274,0.502,0.818,0.99
